"Date [YYYYMMDD]" "Hour UT" Site "Frequency [GHz]" Opacity Transmittance
20100705 0.0 A 221.1 0.09327589 0.9109421
20100705 6.0 A 221.1 0.09534202 0.909062
20100705 12.0 A 221.1 0.1108738 0.8950517
20100705 18.0 A 221.1 0.1079601 0.8976634
20100706 0.0 A 221.1 0.1112919 0.8946776
20100706 6.0 A 221.1 0.07349782 0.9291382
20100706 12.0 A 221.1 0.0391447 0.9616116
20100706 18.0 A 221.1 0.0435307 0.9574032
20100707 0.0 A 221.1 0.04694249 0.9541423
20100707 6.0 A 221.1 0.0382289 0.9624926
20100707 12.0 A 221.1 0.01269432 0.9873859
20100707 18.0 A 221.1 0.01229038 0.9877848
20100708 0.0 A 221.1 0.01481007 0.9852991
20100708 6.0 A 221.1 0.01441644 0.985687
20100708 12.0 A 221.1 0.01471618 0.9853916
20100708 18.0 A 221.1 0.01492443 0.9851864
20100709 0.0 A 221.1 0.01448809 0.9856164
20100709 6.0 A 221.1 0.01439279 0.9857103
20100709 12.0 A 221.1 0.01343341 0.9866564
20100709 18.0 A 221.1 0.01437543 0.9857274
20100710 0.0 A 221.1 0.01601975 0.9841079
20100710 6.0 A 221.1 0.01450241 0.9856022
20100710 12.0 A 221.1 0.0146281 0.9854784
20100710 18.0 A 221.1 0.01624457 0.9838867
20100711 0.0 A 221.1 0.01439372 0.9857094
20100711 6.0 A 221.1 0.01671464 0.9834243
20100711 12.0 A 221.1 0.02052369 0.9796855
20100711 18.0 A 221.1 0.02012251 0.9800786
20100712 0.0 A 221.1 0.02116619 0.9790562
20100712 6.0 A 221.1 0.02174467 0.97849
20100712 12.0 A 221.1 0.02132195 0.9789038
20100712 18.0 A 221.1 0.02072203 0.9794912
20100713 0.0 A 221.1 0.02222572 0.9780195
20100713 6.0 A 221.1 0.01908857 0.9810925
20100713 12.0 A 221.1 0.02134013 0.978886
20100713 18.0 A 221.1 0.0218101 0.978426
20100714 0.0 A 221.1 0.02323738 0.9770305
20100714 6.0 A 221.1 0.02345397 0.9768189
20100714 12.0 A 221.1 0.02517856 0.9751358
20100714 18.0 A 221.1 0.03395532 0.9666147
20100715 0.0 A 221.1 0.03472097 0.9658749
20100715 6.0 A 221.1 0.03327038 0.967277
20100715 12.0 A 221.1 0.03489956 0.9657024
20100715 18.0 A 221.1 0.02549039 0.9748317
20100716 0.0 A 221.1 0.02354106 0.9767339
20100716 6.0 A 221.1 0.02219216 0.9780523
20100716 12.0 A 221.1 0.03640826 0.9642465
20100716 18.0 A 221.1 0.04522756 0.95578
20100717 0.0 A 221.1 0.03389842 0.9666697
20100717 6.0 A 221.1 0.02574749 0.9745811
20100717 12.0 A 221.1 0.02761326 0.9727645
20100717 18.0 A 221.1 0.03214448 0.9683667
20100718 0.0 A 221.1 0.02318764 0.9770791
20100718 6.0 A 221.1 0.03237882 0.9681398
20100718 12.0 A 221.1 0.04675144 0.9543246
20100718 18.0 A 221.1 0.0362426 0.9644063
20100719 0.0 A 221.1 0.0220539 0.9781875
20100719 6.0 A 221.1 0.02002752 0.9801717
20100719 12.0 A 221.1 0.01970843 0.9804845
20100719 18.0 A 221.1 0.01673496 0.9834043
20100720 0.0 A 221.1 0.01903446 0.9811455
20100720 6.0 A 221.1 0.02149715 0.9787323
20100720 12.0 A 221.1 0.02555017 0.9747735
20100720 18.0 A 221.1 0.04529557 0.955715
20100721 0.0 A 221.1 0.06597971 0.9361499
20100721 6.0 A 221.1 0.04195527 0.9589127
20100721 12.0 A 221.1 0.03554866 0.9650758
20100721 18.0 A 221.1 0.03521103 0.9654017
20100722 0.0 A 221.1 0.02265828 0.9775965
20100722 6.0 A 221.1 0.02040171 0.979805
20100722 12.0 A 221.1 0.02724274 0.973125
20100722 18.0 A 221.1 0.03638385 0.9642701
20100723 0.0 A 221.1 0.02736487 0.9730062
20100723 6.0 A 221.1 0.02338068 0.9768905
20100723 12.0 A 221.1 0.0170501 0.9830944
20100723 18.0 A 221.1 0.02203333 0.9782076
20100724 0.0 A 221.1 0.02434267 0.9759512
20100724 6.0 A 221.1 0.0208175 0.9793977
20100724 12.0 A 221.1 0.02281247 0.9774458
20100724 18.0 A 221.1 0.03203493 0.9684727
20100725 0.0 A 221.1 0.02635017 0.973994
20100725 6.0 A 221.1 0.01754928 0.9826038
20100725 12.0 A 221.1 0.01487202 0.985238
20100725 18.0 A 221.1 0.01500122 0.9851107
20100726 0.0 A 221.1 0.02469398 0.9756084
20100726 6.0 A 221.1 0.01635885 0.9837742
20100726 12.0 A 221.1 0.01615403 0.9839757
20100726 18.0 A 221.1 0.01615821 0.9839716
20100727 0.0 A 221.1 0.02251224 0.9777393
20100727 6.0 A 221.1 0.02457372 0.9757258
20100727 12.0 A 221.1 0.04741453 0.953692
20100727 18.0 A 221.1 0.02254237 0.9777098
20100728 0.0 A 221.1 0.04705389 0.954036
20100728 6.0 A 221.1 0.03882257 0.9619214
20100728 12.0 A 221.1 0.04574593 0.9552846
20100728 18.0 A 221.1 0.04646195 0.9546009
20100729 0.0 A 221.1 0.0492896 0.9519054
20100729 6.0 A 221.1 0.04452893 0.9564479
20100729 12.0 A 221.1 0.02454884 0.97575
20100729 18.0 A 221.1 0.04132401 0.9595182
20100730 0.0 A 221.1 0.03910146 0.9616531
20100730 6.0 A 221.1 0.04326555 0.9576571
20100730 12.0 A 221.1 0.04092949 0.9598968
20100730 18.0 A 221.1 0.05117152 0.9501157
20100731 0.0 A 221.1 0.03153028 0.9689616
20100731 6.0 A 221.1 0.02825568 0.9721398
20100731 12.0 A 221.1 0.02900298 0.9714136
20100731 18.0 A 221.1 0.02770965 0.9726707
20100801 0.0 A 221.1 0.02813936 0.9722529
20100801 6.0 A 221.1 0.02480863 0.9754966
20100801 12.0 A 221.1 0.02212456 0.9781184
20100801 18.0 A 221.1 0.02224319 0.9780024
20100802 0.0 A 221.1 0.02505486 0.9752564
20100802 6.0 A 221.1 0.02214111 0.9781022
20100802 12.0 A 221.1 0.02081007 0.979405
20100802 18.0 A 221.1 0.0264186 0.9739273
